sentence,label
"易 烊 千玺 对 王源 ， 单人 行程 前 ， 他 还是 有 保持 基本 的 互动 ， 王源 闹 他 他 也 会 笑 一下 或者 损 一下 。 算 比较 熟悉 朋友 的 状态 。 但易 烊 千玺 从 个人 工作室 开始 ， 人 就 变 了 ， 对 另外 两位 都 没有 什么 回应 ， 脸拉得 更长 了 ， 长到 团饭 都 开始 看不下去 了 。 今年 更 夸张 ， 周年 直接 表白 红海 也是 个 小 心思 藏不住 的 主儿 。
",n
"一台 机器人 一天 能 弄 40 - 50 ， 十 台 机器人 一天 能 弄 400 - 500 ， 想要 了解 的 ➕ V ， 非诚 勿扰
",p
"大家 都 有 了 竞争 ， 怎么 可能 还 如同 以前 ， 服从 公司 安排 ， 扮演 预设 好 的 角色
",n
"毕竟 富 二代 和富 一代 之间 还是 有 鸿沟 的
",n
"但是 关系 再 差 也 有 个 比较 ， 我 现在 觉得 千源 关系 更好
",p
"王源 对易 烊 千玺 ， 之前 这 两人 看着 玩 的 比较 来 ， 王源 对 他 也是 客客气气 的 ， 偶尔 会 有 男孩子 之间 的 调皮 ， 有 好笑 的 东西 也 会 和 他 讲 。 但是 王源 对 他 更 像 熟悉 的 朋友 ， 算不上 兄弟 。 为什么 这么 说 ？ 首先 每个 人 对待 好 朋友 和 兄弟 闺蜜 的 方式 不 一样 ， 王源 的 方式 从 sq 身上 可以 看得出 。 他 对 sq 讲话 和 相处 不会 那么 的 小心翼翼 ， 信任感 更 多一点 ， 在 他 面前 可以 放心 地 释放 童 真的 天性 。 现在 嘛 ， 王源 对易 烊 千玺 可能 也是 想 明白 了 ， 既然 不理 我 ， 我 为什么 还要 热情 的 迎上去 ？ 洒脱 了 许多
",n
"就 这种 关系 才能 长久 啊 ， 而且 啥时候 见千玺 不理 王源 了 ， 平常 因为 占位 都 没 机会 说话 ， 两人 单独 合作 的 时候 气氛 很 融洽 啊 起码 表面 上 。
",p
"我 看凯源 凯千 之所以 这样 崩掉 就是 因为 玩 的 太近 ， 肯定 越 相处 越烦 啊
",n
"不过 我 相信 俊凯会 持续 倒贴 的 。 。 心疼 他
",n
"对于 团魂 ， 四叶草 也是 不断 欺骗 自己 ， 只是 现在 越来越 编不 下去 了 ， 编出来 话 连 自己 都 不 相信 ， 还要 解释 给 别人 听 。 团魂 这种 事 ， 靠 一个 人 是 没有 用 的 ， 反而 弄 的 大家 都 尴尬 。
",n
"今年 五周年 小易 也 挺 明显 的 ， 还有 就是 之前 微博之夜 （ ？ 好像 是 这个 活动 ） ， 三个 人用 奖杯 碰杯 式 庆祝 的 视频 ， 哈哈哈 这个 脸上 表情 简直 了
",n
"我 之前 大致 看 了 一下 他们 的 团歌 表演 ， 小易 的 眼神 就 很少 离开 观众席 的 左 半边 。 王源 有时候 给 他 提示 ， 他 也 不怎么 理睬 。 等 之后 有 时间 ， 再 细致 地 看团 歌舞 台 ， 我 可能 可以 说 得 更 细致 一点
",n
"想太多 了 吧 ， 难道 别人 真的 性取向 有 问题 啊 ？
",n
"反正 不 可能 太好 ，
",n
"我 不 知道 这 三个 怎么样 ， 但是 我 从没 见 过 像 凯千粉 这么 厚颜无耻 之 人
",n
"没脸没皮 而已
",n
"楼上 纸鸟 帖 的 臆想 怕 是 要 穿破 天际 了 ， ，
",n
"讲真   要 我 我 也 不 愿意 和 唱歌 跑调 救 不 回来 还 自视 清高 的 人 玩   嘻嘻
",n
"一部分 从 岛上 下来 和 四叶草 转唯 的 真的 离不开 队友 ， 对于 直接 单人 入坑 的 实在 对 8102 年 还 在 纠缠 队友 的 行为 无法 理解
",n
"很 认真 的 说 ， 凯源 是 互 砍 的 关系 ， 凯千是 凯凯 单方面 怕 千千 的 关系 ， 千源 是 撕破脸皮 后 你 谁 呀 的 关系
",n
"以前 不看 这些 评论 ， 可是 偶然 看见 他们 小时候 的 偶像 手记 视频 突然 非常 喜欢 他们 ， 连 我 儿子 都 说 妈妈 这么 大人 了 还 天天 追看 他们 视频 ， 那 时候 他们 是 真的 不错 ， 给 我们 呈现 出来 的 真的 是 青春活力 ， 从 最 开始 的确 看见 凯源 关系 比较 好 ， 后来 大 一点 的 时候 的确 发现 小凯 比较 喜欢 跟千玺 互动 ， 他们 三人 之中 我 是 最 喜欢 王源 的
",p
"喜欢 他们 小时候 组合 一起 的 时候 ， 单纯 可爱 ， 现在 大 了 接触 事物 面对 问题 多 了 肯定 有 变化 ， 整体 来说 王俊凯 比较 出色 ， 但是 他 喜欢 怼 人 ， 对千玺 过于 热情 ， 王源 不错 ， 会 想方设法 逗 大家 开心 ， 如果 分开 对 王源 比较 好 。
",p
"以前 我 总 觉得 那些 嚷 着 要 他们 解散 的 人 很 不 理智 ， 可是 经过 这 两年 我 也 只 想 说 ， 解散 吧 ！ 对 各自 都 好 ！ ！
",n
"鸡 就是 鸡 ， 菊开 被 导演 夸色 ， 情 了 还 装 什么 好孩子 哦
",n
"出色 是 出门 陪酒 很色 ， 情 的 简略 版 吗
",n
"别装 最 喜欢 wy 了 ， 谁 还 不 知道 谁 呢 ， 你 只是 菊开养 的 贱 鸡 罢了
",n
"凯和千 关系 比较 好 吧   , 肉眼 可见
",p
"小当 家里 wjk 黑脸 直接 白眼 wy 的 时候 ， yyqx 可是 屁颠 屁颠 的 跟 在 wjk 身后 一起 孤立 wy ， 跟 小 姐妹 手拉手 搞 小 团队 似的
",n
"* * * * ， 祝你们 生活 中 都 没 朋友
",n
"小时候 是 真的 好 ， 现在 纯粹 同事 关系 ， 基本 不 合体 不 联系 了 。
",n
"无所谓 了 ， 反正 我们 源源 要 走 了 ， 往事 随风而去 吧 ， 只是 希望 队友 毒唯粉 们 放 孩子 一条 生路 ， 别人 都 出国 了 还 nm 踩
",n
"我 真的 很迷 ， 朋友 间 有 矛盾 怎么 了 ， 真的 有 利益 关系 他们 玩 音乐 的 ， 玩 影视 的 其中 的 利弊 关系 那么 清楚 吗 ？ 那 他 三 的 助理 那么 好 。 助理 们 和 他们 也 那么 好 ， 他们 相遇 在 很小 的 时候 ， 那 时候 懂 什么 ， 一路 相互 扶持 。 有 矛盾 很 正常 吧 ， 你 没 对 你好 朋友 耍 过 脾气 啊 。 源 走 的 路 和 他们 不太 一样 ， 所以 需要 更 多 时间 在 其他 上 。 而且 千玺 之所以 五周年 那么 冷漠 ， 是因为 演了 少年 的 你 还 没 出戏 ， 你 演 的 第一部 电影 还是 那样 题材 的 电影 ， 你 一下 就 出 的 来 啊 ， 小凯 也是 ， 他 自己 本身 不缺 流量 ， 什么 叫 讨好 别人 ， 只是 更加 珍惜 而已 ， 他 在 尽量 把 千玺 带 出来 ， 好好 的 ， 被 你们 说成 什么样 了 。
",p
"欢迎 各位 袋友 到此一游
",p
"不禁 一切
",p
"保 你 平安
",p
"怎么 这么 吓人   最后 一张 是 在 做法 吗
",n
"终于 有 勇士 开楼 了
",p
"祝丑 千千 灵堂 祭奠 活动 一切顺利 。 🙏 🙏 🙏 🙏 🙏
",n
"午安
",p
"此楼 不 需要 控   楼主 先跨 出楼   回见
",p
"带 板凳 围观
",p
"给 纸鸟 占个 坐
",p
"跨 ， ctm 太 阴森 了
",n
"gg 今天 都 不 叫 生日会   官方 说法 叫 线下 活动   哈哈哈哈 哈哈哈   建议 改个 楼名
",p
"不禁 一切 那 我们 rs 楼主
",p
"跨跨 跨
",p
"邪教 现场
",n
"下午 追悼会 ， 大家 都 严肃 点 ！
",n
"真 不想 骂 干干 奈何 鸷鸟 和 他 的 工作室   和 他 本人 做 的 事 太 恶心 了
",n
"怎么 这个 色调 ！ ！ ！ ！ ！
",n
"千千 生日快乐 ， 有 的 人别 太过分 了 ， 平时 嘲嘲 就算 了 ， 生日 还是 说点 好 的
",p
"都 19 岁 了 ， 就 祝 干干 别 那么 衰 吧 ， 至少 别衰 别人
",n
"生日快乐
",p
"？ ？ ？ ？ ？
",n
"好 短 的 腿
",n
"野性 我 知道 什么 意思 ， 缝凉 是 什么 意思 ？
",n
"野性 就是 高潮 的 意思
",n
"一 遇见 天冷 就 自我 高潮 ！
",n
"现在 这个 吧 ， 意义 何在 ？
",n
"最大 的 存在 是 给 路 人 展露 * * 粉丝 的 无 下限 ， 给 yyqx 虐粉 ？
",n
"黑有 道 ， 长 点心 吧
",n
"太久 没来 了 ， 吧 主 吧 务 什么 时候 换 的
",p
"都 换 了 嘛 ？
",p
"你 在 哪 玩 呀 。 我 好 想 再 回到 麻袋 时期
",p
"说实话 比 现在 上网 快乐 多 了
",p
"我 现在 逛 豆瓣 小组 ， 逛 养鸡场 ， 看 各种 电影 ， 嘿哈 怎么 也 没有 以前 逛 麻袋 那种 一个 人 注册 四个 号 怕 被 管理员 封禁 然后 不能 开麦 的 狂热 感 了 。 那种 快乐 像是 达到 了 巅峰 ， 有时候 想起 麻袋 也 只是 想起 自己 什么 时候 最 快乐
",p
"最 喜欢 的 还是 麻袋 公马
",p
"想 说 什么 说 什么
",p
"原地
",p
"贴 吧 落寞 了
",n
"麻袋 公马 真的 快乐 还有 学习 资料 共享   可惜 啊 一去不复返了
",p
"百鬼 夜行 ， 群魔乱舞
",n
"丑 柑 19 了
",n
"鸟鸟 都 给 干干 设 灵堂 了 ， 几个 白莲 ， 婊 是不是 应该 把 鸟鸟 给 宰 了 。
",n
"这个 可是 鸟鸟 自己 设 的 ， 婊 ， 子装 什么 装 。 85 亿是 什么 钱 呀 ， 给 阎王爷 话花 的 吧 。
",n
"看来 大家 对 鸟鸟 的 容忍 底线 真的 很 高 啊 ， 鸟鸟 在 其他人 生日 犯   贱 的 时候 当 看不见 。 现在 到易 烊 千玺 生日 了 就要 站 在 道德 制高点 指责 别人 ？ 果然 gg 的 十三亿 路人粉 威力 很大 喔
",n
"祝 我们 葛如钩 20 岁 生活 快乐
",p
"最后 祝 今天 丑肝 的 追悼会 圆满成功 ， 19 岁 啦 。 以后 呢 要 就要 懂事 啦 ， 自己 少卖 惨 ， 粉丝 少 碰瓷 。
",n
"丑 柑 的 狗   逼   粉 在 别人 生日 当天 造 的 孽会孽 力回馈 的 ， ， 丑 又 low 的 主 ， 穷且 贱 的 奴 ， 绝配
",n
"今天 提到 了 丑 肝   还是 跨个 火盆 吧
",n
"这楼 跨 🔥 盆 怎么 够 ， 自私 点 ， 为了 自己 也 必须 跨个 火山 才 挡得住 衰气 ， 还 烧死 那些 平时 屁 的 不放个 ， 现在 在 那里 装模作样 的 当 什么 正义 使者 的 白莲花 们 。
",n
"跨 一下
",n
"垃圾场 里面 爬 的 果然 都 是 垃圾
",n
"干干 马上 19 岁 了 ， 学会 开麦 真唱 了 吗 ？ 替 丑 肥蠢 的 鸟鸟 们 默哀 。
",n
"哈哈哈哈 哈哈哈哈
",p
"来看 小 钱包 啦
",p
"自己 也是 在 这 混 的 人 好意思 说 别人 垃圾 ， 果然 婊   子 都 比较 喜欢 立 牌坊
",n
"敢不敢 全开 麦 ？
",n
"给 的 东西 还 挺 多
",p
"吃 着 螺狮 粉抖 腿 等   这 一袋 热量 可太高 了
",p
"这楼 有毒 吧 ， 吓死 了
",n
"太 可怕 了   我 跨 ！
",n
"* * 这 他 妈 太 吓人 了 吧
",n
"不敢 再入 这楼 ， 怕怕
",n
"吓死 我 了 。 。 。 。 * * * 是 鬼 娃娃 还是 养 小鬼 现场
",n
"发 成功 了
",p
"没 啥 人 倒 也好 ， 清闲自在
",p
"墨爷 ， 撕家 ， 和 鬼鬼
",n
"今日 的 乐趣 就 在于 看看 崽 崽 和 酒鬼 一家
",p
"以后 每天 都 会 来 这里 吐口 水
",n
"小 腚 ， 可爱 屎 了
",p
"使劲 吐槽 ， 斗罗 真的 让 人 等 得 心碎
",n
"绿茶 植入 简直 神来之笔 笑 死 了
",p
"柑橘 味 香气 还是 漫画 好看 ， 但是 很久没 更新 了 漫画
",p
"想 吃 辣 ， 爆辣
",p
"小 裙子 明天 晚上 就 去 买 。 网上 看 了 那么 多家 ， 结果 还是 实体店 比较 爽
",p
"还有 几天 我 就 满 四年 了
",p
"呀呀 呀
",p
"今天 的 撕 家宝 太太 太萌 了
",p
"是 了 ， 我 是 老 碳头 都 会 抓狂 哈哈哈哈
",p
"我 看 了 好多遍 ， 撕家 怎么 可以 这么 可爱
",p
"掏 ⭕ 无聊 到 我 都 回大 吧 做 数据 去 了
",n
"。 。 。
",p
"哈哈哈 哈哈哈 哈哈哈 我 觉得 还好
",p
"真的 很 喜欢 这 一家子
",p
"撕家 宝宝
",p
"萨摩耶 看着 乖巧 ， 但是 也是 三 傻 之一 啦
",p
"萨摩耶 也是 傻傻的 ， 但是 超萌 超甜 的
",p
"但是 小 狐狸 真的 是 非常 高冷 了 ， 感觉 跟 其他 的 傻 白甜 萨摩耶 完全 不 一样 的 感觉
",p
"糊 了
",n
"哇水楼 ！
",n
"我来 了
",p
"刚 在外 吃 一个 快餐     太 难吃 了
",n
"标题 的 1.0 能 去掉 了 吧 ， 聊到 明年 不 知道 有 2.0 没
",n
"我 试试 能 不能 水到 13 级
",p
"最近 脑袋 特别 疼 ， 不 知道 和 熬夜 有没有 关系
",n
"我 刚刚 在 豆瓣 知道 原来 王炸 的 麻袋 还有 个 贴 吧 ， 来 看看 果然 没人 了 ， 太 悲伤 了
",n
"哎   定期 回来 看看
",p
"可怕 再 跨
",n
"有点像 东莞 大型 传销 会 现场 , 灯光 话筒 就位 ， 葛 老师 请 开始 你 的 婊演
",n
"自觉 跨 一个 🔥
",n
"这 可是 他 工作室 发 的 图   我 还是 删 了 吧   太 吓人 怕 染上 衰气
",n
"这 叫 洗 剪 吹 还是 杀马特 ？
",n
"大家 不要 回复 隔壁 编剧 开 的 楼 了 ， 让 他 一个 人 solo
",n
"黑 童话 既视感
",n
"排队 进场 不 都 是 那样 的 场景 吗 ， 真是 搞不懂 了
",n
"* * * 像 邪教 or 灵堂
",n
"丑   比多 作怪
",n
"跨 火盆
",n
"散场 了 肥 鸟们 一人 提着 一个 印着 丑 干 大头 的 袋子 进 地铁 ， 会 吓 到 路 人 吧
",n
"散场 了 肥 鸟们 一人 提着 一个 印着 丑 干 大头 的 袋子 进 地铁 ， 会 吓 到 路 人 吧
",n
"你 在 质疑 路人 的 审美 吗 ， 在 他们 眼里 大头 朝天鼻 就是 帅
",n
"挑染 头发 了 ， 紫色
",p
"家里 有 孩子 的 就 别 让 孩子 看 了 ， 怕 吓 到
",n
"我 的 天呐 ， 为 保护 这些 还 有点 三观 的 鸟 ， 糊去 了 ID
",n
"。 。 。 他家 真是 帝国 开心果
",p
"今年 她们 的 生日 应援 主题 是   ？ ？ ？ tu ？
",p
"去 看 生日会 能 还 能 卖 羊 赚钱 ， 🐦 不亏 啊
",n
"哈哈哈 哈哈 坐内场 的 粉丝 高贵 一点 吧 大概 ， 你 爱豆 是 这么 给 你们 划分 的
",n
"生日 场图 ， 好像 没有
",n
"不是 晚上 才 开 的 吗 ？ 还是 三点钟 ？
",n
"生日快乐 啊   千玺
",p
"预告   小 gg 今天 有脏 辫   大家 期待 一下
",p
"邪教 大会 一样
",n
"集体 开 追悼会
",n
"灵堂 加 俗不可耐 的 应援 绝配 了
",n
"最近 同事 把 自家 英短 抱 到 公司 了 ， 好 可爱 啊 ớ   ₃ ờ ， 特别 高冷 ， 但是 怎么弄 它 都 不会 生气 ， 日常 吸猫
",p
"水 多久 才能 到 13 级 啊 ， 现在 吧 里 还有 程序 媛 吗 ？ 想 问 女生 可以 转行 做 开发 吗 ？ 会 不会 秃头 啊
",p
"今天 也 被 酒鬼 和 墨爷 可爱 到
",p
"小 裙子 明天 晚上 就 去 买 。 网上 看 了 那么 多家 ， 结果 还是 实体店 比较 爽
",p
"....
",p
"我 也 想 买 ， 等 你 repo 推荐
",p
"好久没 上 贴 吧 了
",n
"尺尺 当 吧 务 了
",p
"麻袋 真糊 了
",n
"新 版本 真难用 ， 李 艳红 要 的 果然 只有 钱
",n
"下雨 了
",p
"又 熬夜 了 ， 首先 得 把 生物钟 调整 过来
",n
"突然 想 起来 报告 还 没 写 完 自从 过年 以来 单位 好 忙 哦
",n
"编 数据 去 了
",p
"看 连衣裙 看 了 几天 了 ， 还 没有 选 好 ， 刚刚 下单 了 一条 半身裙 。 但是 还是 想 买 连衣裙
",p
"一个 男人 ， 天天 问 我 她 前女友 要 找 他 和 好 怎么办 ， 无力 吐槽 了
",n
"连衣裙 2 套 ， 阔腿裤 一堆
",p
"我 也 一大堆 短裙 短裤 ， 但是 还是 想 买 连衣裙
",p
"想想 想
",p
"我 也 想 买 连衣裙
",p
"蠢蠢欲动
",p
"小 吧 主能 不删 我 的 楼 不 经常 禁言 我 嘛
",n
"土偶 可以 说 吗 ？ 反正 这里 也 没什么 人 了 ， 让 我 吐 槽 一下 吧
",n
"原来 pick 的 都 不想 pick 了 ， 现在 想 pick 的 都 淘汰 了
",n
"觉醒 的 jpy   qzm ， 坤 yin 的 mzy   yy ， 香蕉 的 ldh 。 他们 真的 太 有趣 了 。 还有 磊子 我 的 快乐 瀑布 。 看 弹幕 说磊子治好 了 我 多年 的 抑郁症 哈哈哈 哈哈哈
",p
"使劲 吐槽 ， 斗罗 真的 让 人 等 得 心碎
",n
"觉得 斗罗女 主 不 好看 ， 看 了 几集 就弃 了
",n
"使劲 吐槽 ， 斗罗 真的 让 人 等 得 心碎
",n
"觉得 斗罗女 主 不 好看 ， 看 了 几集 就弃 了
",n
"。 。 。
",n
"小时候 还 可以 ， 长大 了 两个 都 emmmmm 。 。 。 还有 唐三 的 声音 娘娘 的
",n
"墨爷 真的 是 小 仙女 吧
",p
"现在 谁 是 吧 主
",p
"楼上 就是 哇
",p
"隔 段时间 就 有人 开贴 问 麻袋 怎么 糊 了 ， 怀念 以前 的 麻袋 ， 什么 观点 大于 属性 ， hello ， 8102 年 了 ， 大清 都 灭亡 了 ， 曾经 的 喷脏 你 怎么 瞎 了 没 看见 ， 你 当初 怎么 不 来 控诉 ， 现在 这么 蹩脚 的 试探 理由 ， 也 敢 拿 出来 假装 情怀 ， 喜欢 活在 过去 的 人 没 资格 来 麻袋 展望未来
",n
"真的 很 喜欢 酒鬼 一家 ， 今天 起早 看 完 repo ， 然后 就 看到 了 鬼鬼 一家 的 视频 ， 幸福感 爆棚 活力 满满的 一天 开始 啦
",p
"最近 身边 很多 人过 生给 朋友 买 的 口红 结果 忘带 过去 了 ， 只好 带 她 去 专柜 了
",n
"肚子饿
",n
"可爱 哇
",p
"卡 * * 给 你 爸 烧纸 没有
",n
"昨晚 去 那个 加油 吧 当 了 回吃瓜 群众 ， 挺 有意思 的 ， 那里 的 人 好像 把 工作室 = xw ， 给 工作室 提 点 意见 等于 对 xw 指手画脚 ， 对 xw 伸 的 手 太长太 住脑 ， 然后 开始 互相 洗脑 xw 肯定 不 想要 营销 我 就 讨厌 热 搜 ， xw 是 讨人喜欢 可 主要 还是 工作室 的 功劳 ， 妈呀 ， 这 哪 是 住 脑 这 是 姑姑 本姑 了 ， xw 也是 惨 除了 学 专业知识 还得学 营销 宣传 ， 都 能 指点 工作室 了 ， 还有 谁 说 汤圆 不会 骂人 这次 我 见识 到 了 很会 骂
",n
"看 了 眼 那 啥 偶像 练习生 ， 忽然 觉得 你 啵 真是 清流 ， 无论是 风格 还是 妆容 ， 看着 那 一堆堆 粉比头 毛 还 厚 下巴 能当 凶器 的 男孩子 ， 饭 都 吃不下 了
",n
"produce101 不 也是 抄袭 日本 的 akb 总 选举 吗 ， 都 是 投票 排名 次 ， 得 第一 的 站 吸位 ， 名次 好 的 前 几名 组团 唱歌 ， 只不过 101 属于 高级 抄袭 ， oxlxs 属于 低级 抄袭 罢了
",n
"关键 是 ， 里面 的 人 都 丑 爆 了
",n
"刚好 让 三月 追星 女孩 有 地方 可以 爬
",p
"好 想 结婚
",p
"produce48 了解 一下 咯 ， 秋元康 自己 都 不在意 ， 第三季 还 干脆 直接 合作 了 … 而 国内 这个 抄袭 节目 可是 被 原版 发了 声明 的 ， 而且 真的 完全 从头 抄到 尾
",n
"想 结婚 ？ 为啥 啊
",n
"土偶 完结 了 ， 找 不到 乐趣 了 。 从 今天 开始 不会 为 他们 出头 了 ， 做 一个 高贵 的 路 人粉
",n
"不 知道 我能 到 多少级
",p
"水一水 ， 麻袋 清闲
",p
"大 宝贝
",p
"线下 已经 有图 了
",p
"胃疼 ， 每天 正常 吃饭 啊 ， 为什么 会 胃 疼
",n
"来 给 卡卡 顶 顶楼
",p
"外边 为什么 这么 某人 的 桃花 楼 啊
",p
"马上 就 橙皮 了
",p
"太 恶心 了 ， 同性恋 做错 了 什么 要 这 样子 封杀 ， 这 本质 上 来说 根本 就 不算 个 问题 ， 就 像 有人 喜欢 吃 苹果 有人 喜欢 吃 西瓜 一样 ， 没有 对错 之分 ， 现在 喊 着 封杀 的 人 是不是 还活 在 文明 未开化 的 时期
",n
"落寞 的 绅士
",p
"果然 叙利亚 还是 同 多年 前 的 伊朗 ， 再次 满目疮痍 ， 世界 的 丛林 法则 ， 弱国 无 外交
",n
"真的 很 可怜 ， 先有国 再有 家 ， 这是 国垮 了
",n
"弱国 无 外交 … …
",n
"日本 广告 拍摄 行程 讨论 楼
",p
"禁 sjb
",n
"？ ？ ？
",n
"今天 到处 占楼
",n
"借 隔壁
",p
"拍 啥 广告 ？ 开封 菜 ？ 欧破 ？
",p
"话 说 当时 泡菜 行 的 那 出戏 有点 精彩 ， 霓虹 行会 有 怎样 的 惊喜 蛮 期待 也
",p
"欧破 广告 拍摄 ， 欢迎 大家 搬运 消息
",p
"oppo 小 电影 向来 还是 不错 的 ， 不过 今年 团 的 新 代言 都 有 主推 补充协议 ， 就 不 知道 戏份 会 怎样 了 。 。
",p
"想 看 好看 的 造型 ， 就 像 欧 颇 的 微 电影 一样
",p
"占 一个
",p
"不 知道 这 一次 xw 还 是不是 手机 精
",p
"oppo 小 电影 向来 还是 不错 的 ， 不过 今年 团 的 新 代言 都 有 主推 补充协议 ， 就 不 知道 戏份 会 怎样 了 。 。
",p
"— —
",p
"这话 说 的 ， 没有 新 协议 之前 也是 主推 戏份 最多 好 吗 ， 当时 看 了 提前 场 的 水产 回来 repo 都 说 wy 戏份 最少 现在 锤 还 在 上栋 楼里 呢
",n
"希望 还是 小 清新 风格 的 ， 不要 暗黑 悬疑 那种
",p
"9 号 是 周末 ， 时间 合适 的话 可以 去 努力 一下 ， 等 具体 航班
",p
"放心 了 ， 果然 公司 没有 智 . 障到 7.7 去 日本
",p
"希望 还是 小 清新 风格 的 ， 不要 暗黑 悬疑 那种
",p
"想 看 啵 啵 穿 和服
",p
"隔壁 楼 ？
",p
"组合 不会 想 拿 这种 日子 来 炒 吧
",n
"焰火 ， 浴衣 ， 木屐
",p
"想 看 浴衣 ！
",p
"都 已经 yy 了 就 说 个 大 的 ， 泡温泉 半果 湿身
",p
"幸好 不是 7.7 去 的
",p
"相扑 服 吗 ？
",p
"横幅 钱 不如 捐个 公益 午餐
",p
"纸鸟 在 学 他们 爱豆 杂耍 吗 都 什么 奇葩
",n
"难怪 被 gg 骂 丑蠢
",n
